bar,inst_id,hit_time_cn,hit_ts,multiple,previous_amplitude_percent,previous_change_percent,volume_multiple,threshold_price,hit_open,hit_high,hit_low,hit_close,next_candle_time_cn,next_candle_change_percent,next_open,next_high,next_low,next_close,next_high_vs_threshold_percent,next_high_vs_threshold_multiple,next_low_vs_threshold_percent,next_low_vs_threshold_multiple,next_close_vs_threshold_percent,next_close_vs_threshold_multiple,next_low_below_threshold,next_close_below_threshold,data_completeness
4H,SOPH-USDT-SWAP,2025-12-20 00:00:00,1766160000000,10.059297,5.500821,3.201970,73.623867,0.019449,0.012560,0.019490,0.012540,0.018300,2025-12-20 04:00:00,-4.866047,0.018290,0.019450,0.016700,0.017400,0.004981,1.000050,,,,,,,full_ohlc
4H,TRB-USDT-SWAP,2022-06-08 04:00:00,1654632000000,18.270854,4.809619,3.106212,129.563414,15.268717,10.310000,19.370000,10.310000,14.280000,2022-06-08 08:00:00,-12.464986,14.280000,14.420000,12.340000,12.500000,-5.558538,0.944415,,,,,,,full_ohlc
4H,TRX-USDT-SWAP,2021-01-29 20:00:00,1611921600000,11.324029,4.379562,2.189781,8.239385,0.044223,0.030810,0.046010,0.030730,0.035000,2021-01-30 00:00:00,-6.387226,0.035070,0.042210,0.032150,0.032830,-4.552859,0.954471,,,,,,,full_ohlc
4H,UMA-USDT-SWAP,2024-03-09 08:00:00,1709942400000,10.257994,2.229147,1.701822,18.396888,5.161604,4.242000,5.186000,4.216000,4.955000,2024-03-09 12:00:00,3.329970,4.955000,5.488000,4.867000,5.120000,6.323538,1.063235,,,,,,,full_ohlc
4H,UMA-USDT-SWAP,2024-05-09 00:00:00,1715184000000,13.933111,3.397111,2.420929,35.965341,3.493402,2.624000,3.844000,2.602000,3.614000,2024-05-09 04:00:00,-4.482568,3.614000,3.792000,3.342000,3.452000,8.547491,1.085475,,,,,,,full_ohlc
4H,UMA-USDT-SWAP,2025-06-06 20:00:00,1749211200000,17.785910,1.759259,1.203704,177.804275,1.285287,1.093000,1.435000,1.093000,1.335000,2025-06-07 00:00:00,-10.104790,1.336000,1.354000,1.165000,1.201000,5.346118,1.053461,,,,,,,full_ohlc
4H,UMA-USDT-SWAP,2025-11-09 16:00:00,1762675200000,10.572727,2.353292,1.975971,61.984266,1.249760,1.026900,1.263600,1.008100,1.028600,2025-11-09 20:00:00,-0.281991,1.028400,1.040000,1.011900,1.025500,-16.783990,0.832160,,,,,,,full_ohlc
4H,UMA-USDT-SWAP,2026-02-16 20:00:00,1771243200000,15.072804,1.616121,1.197127,696.447732,0.588402,0.507400,0.630000,0.506400,0.587000,2026-02-17 00:00:00,-6.509884,0.586800,0.592800,0.546400,0.548600,0.747449,1.007474,,,,,,,full_ohlc
4H,WAL-USDT-SWAP,2026-04-16 16:00:00,1776326400000,11.003648,4.625155,2.001933,73.594784,0.107671,0.073860,0.111100,0.073510,0.082120,2026-04-16 20:00:00,-1.692027,0.082150,0.083460,0.078600,0.080760,-22.486378,0.775136,,,,,,,full_ohlc
4H,WCT-USDT-SWAP,2025-12-30 16:00:00,1767081600000,13.416586,2.142857,1.008403,85.352327,0.087504,0.072070,0.092780,0.072060,0.091430,2025-12-30 20:00:00,3.455440,0.091450,0.100480,0.088320,0.094610,14.829599,1.148296,,,,,,,full_ohlc
4H,WET-USDT-SWAP,2026-04-13 16:00:00,1776067200000,12.283825,4.853818,1.504400,28.966337,0.158097,0.107290,0.169990,0.106020,0.150660,2026-04-13 20:00:00,-8.089992,0.150680,0.156820,0.134180,0.138490,-0.807488,0.991925,,,,,,,full_ohlc
4H,XTZ-USDT-SWAP,2025-11-06 20:00:00,1762430400000,11.177238,1.880699,1.234802,19.321509,0.627704,0.532800,0.639500,0.527500,0.607400,2025-11-07 00:00:00,-1.020744,0.607400,0.653400,0.583300,0.601200,4.093708,1.040937,,,,,,,full_ohlc
4H,YGG-USDT-SWAP,2021-12-15 12:00:00,1639540800000,17.291598,3.253633,1.313226,15.697526,6.615684,4.991600,7.799900,4.991600,5.862500,2021-12-15 16:00:00,-6.311334,5.859300,5.900000,5.454800,5.489500,-10.817983,0.891820,,,,,,,full_ohlc
4H,YGG-USDT-SWAP,2026-02-21 08:00:00,1771632000000,15.916661,1.864449,1.033006,191.418047,0.047576,0.040100,0.052000,0.040100,0.051080,2026-02-21 12:00:00,-0.411120,0.051080,0.051980,0.048110,0.050870,9.255752,1.092558,,,,,,,full_ohlc
4H,ZETA-USDT-SWAP,2025-03-22 08:00:00,1742601600000,12.500452,1.624884,1.253482,67.430407,0.253039,0.218100,0.261900,0.217600,0.251200,2025-03-22 12:00:00,15.001990,0.251300,0.298700,0.251100,0.289000,18.045176,1.180452,,,,,,,full_ohlc
4H,ZKP-USDT-SWAP,2026-02-01 08:00:00,1769904000000,11.410019,6.829268,3.414634,16.727650,0.141344,0.084700,0.149500,0.083500,0.125700,2026-02-01 12:00:00,-4.060510,0.125600,0.129400,0.114600,0.120500,-8.450242,0.915498,,,,,,,full_ohlc
