bar,inst_id,hit_time_cn,hit_ts,multiple,previous_amplitude_percent,previous_change_percent,volume_multiple,threshold_price,hit_open,hit_high,hit_low,hit_close,next_candle_time_cn,next_candle_change_percent,next_open,next_high,next_low,next_close,next_high_vs_threshold_percent,next_high_vs_threshold_multiple,next_low_vs_threshold_percent,next_low_vs_threshold_multiple,next_close_vs_threshold_percent,next_close_vs_threshold_multiple,next_low_below_threshold,next_close_below_threshold,data_completeness
1H,SUSHI-USDT-SWAP,2023-11-02 02:00:00,1698861600000,10.674790,3.931395,2.026952,9.668350,1.271694,0.916200,1.296000,0.911500,1.131000,2023-11-02 03:00:00,-0.990887,,,,,,,,,,,,,partial_only
1H,TRB-USDT-SWAP,2023-09-13 15:00:00,1694588400000,12.077911,3.367429,1.565854,1.502555,23.606921,24.125000,25.295000,15.483000,24.654000,2023-09-13 16:00:00,-4.794743,,,,,,,,,,,,,partial_only
1H,TURBO-USDT-SWAP,2024-03-02 11:00:00,1709348400000,10.357276,4.113770,1.977539,16.622889,0.001178,0.000835,0.001190,0.000834,0.001018,2024-03-02 12:00:00,0.805580,,,,,,,,,,,,,partial_only
1H,UMA-USDT-SWAP,2025-03-22 22:00:00,1742652000000,14.810769,1.741105,1.059803,38.717449,1.551263,1.334000,1.663000,1.319000,1.588000,2025-03-22 23:00:00,-1.636249,,,,,,,,,,,,,partial_only
1H,UMA-USDT-SWAP,2025-06-06 22:00:00,1749218400000,15.332583,1.637853,1.000910,99.162014,1.290965,1.111000,1.388000,1.109000,1.349000,2025-06-06 23:00:00,-0.964392,,,,,,,,,,,,,partial_only
1H,UMA-USDT-SWAP,2025-11-09 16:00:00,1762675200000,14.326719,1.646943,1.282051,107.713402,1.190425,1.026900,1.263600,1.021300,1.119400,2025-11-09 17:00:00,-7.640068,,,,,,,,,,,,,partial_only
1H,VANA-USDT-SWAP,2026-02-09 21:00:00,1770642000000,22.591265,1.318529,1.040944,236.439457,1.648110,1.457000,1.890000,1.456000,1.730000,2026-02-09 22:00:00,2.719907,,,,,,,,,,,,,partial_only
1H,VIRTUAL-USDT-SWAP,2025-01-31 16:00:00,1738310400000,11.513902,2.781470,1.604884,16.151758,2.599562,2.064600,2.686500,2.025300,2.296700,2025-01-31 17:00:00,-0.522739,,,,,,,,,,,,,partial_only
1H,VIRTUAL-USDT-SWAP,2025-04-11 18:00:00,1744365600000,12.339170,1.826196,1.091520,115.889250,0.566731,0.481500,0.587300,0.478800,0.539500,2025-04-11 19:00:00,-1.926996,,,,,,,,,,,,,partial_only
1H,YGG-USDT-SWAP,2025-10-15 13:00:00,1760504400000,10.893304,7.033426,3.272981,12.746973,0.252776,0.148400,0.262100,0.148400,0.202800,2025-10-15 14:00:00,-2.910705,,,,,,,,,,,,,partial_only
1H,ZAMA-USDT-SWAP,2026-04-14 13:00:00,1776142800000,10.307155,2.290650,1.276756,17.143967,0.033040,0.026980,0.033230,0.026860,0.030100,2026-04-14 14:00:00,-7.009967,,,,,,,,,,,,,partial_only
1H,ZRX-USDT-SWAP,2025-12-30 08:00:00,1767052800000,11.043723,2.328967,1.018923,17.785799,0.167126,0.138800,0.170500,0.134800,0.164700,2025-12-30 09:00:00,-3.523694,,,,,,,,,,,,,partial_only
